,TT
0,2.833333333333333
1,1.5
2,21.25
3,2.0
4,35.733333333333334
5,4.666666666666667
6,3.0
7,6.15
8,22.566666666666663
9,10.8
10,11.933333333333334
11,2.683333333333333
12,29.216666666666665
13,39.333333333333336
14,5.15
15,20.58333333333333
16,30.05
17,33.2
18,4.816666666666666
19,4.466666666666667
20,16.266666666666666
21,7.816666666666666
22,8.966666666666667
23,6.466666666666667
24,11.616666666666667
25,9.133333333333333
26,12.633333333333333
27,19.566666666666663
28,11.783333333333331
29,3.983333333333333
30,11.766666666666667
31,3.65
32,12.95
33,2.0
34,26.05
35,40.25
36,16.283333333333335
37,3.216666666666667
38,5.633333333333334
39,4.0
40,5.483333333333333
41,3.316666666666667
42,6.65
43,11.616666666666667
44,18.6
45,28.05
46,17.1
47,33.36666666666667
48,12.75
49,5.966666666666667
50,10.483333333333333
51,38.35
52,5.483333333333333
53,20.08333333333333
54,9.983333333333333
55,4.483333333333333
56,1.65
57,22.916666666666668
58,1.6666666666666667
59,13.283333333333331
60,48.21666666666667
61,6.65
62,3.316666666666667
63,24.416666666666668
64,5.65
65,27.716666666666665
66,30.716666666666665
67,2.15
68,9.316666666666666
69,11.633333333333333
70,3.316666666666667
71,4.8
72,20.916666666666668
73,11.3
74,3.65
75,26.366666666666667
76,6.966666666666667
77,17.283333333333335
78,8.633333333333333
79,39.23333333333333
80,17.916666666666668
81,11.4
82,5.316666666666666
83,16.1
84,27.216666666666665
85,0.8333333333333334
86,15.6
87,8.45
88,19.23333333333333
89,28.23333333333333
90,19.8
91,29.73333333333333
92,17.666666666666668
93,43.71666666666667
94,31.28333333333333
95,9.616666666666667
96,30.58333333333333
97,2.35
98,19.58333333333333
99,38.0
100,50.63333333333333
101,1.9833333333333332
102,4.0
103,4.983333333333333
104,1.3333333333333333
105,12.95
106,4.0
107,2.333333333333333
108,14.933333333333334
109,10.55
110,43.86666666666667
111,10.15
112,1.8166666666666669
113,4.666666666666667
114,6.3
115,27.883333333333333
116,24.58333333333333
117,38.516666666666666
118,15.133333333333333
119,38.18333333333333
120,5.0
121,11.966666666666669
122,1.9833333333333332
123,11.933333333333334
124,20.116666666666667
125,21.25
126,3.5
127,19.816666666666663
128,24.08333333333333
129,2.4833333333333334
130,17.283333333333335
131,1.65
132,3.15
133,6.033333333333333
134,56.38333333333333
135,22.25
136,8.783333333333333
137,5.65
138,31.95
139,5.15
140,11.933333333333334
141,5.65
142,7.766666666666667
143,25.5
144,42.333333333333336
145,43.73333333333333
146,2.9833333333333334
147,29.05
148,9.783333333333331
149,47.41666666666666
150,15.95
151,5.483333333333333
152,3.4166666666666665
153,20.1
154,14.283333333333331
155,3.333333333333333
156,5.65
157,13.45
158,13.116666666666667
159,18.933333333333334
160,34.03333333333333
161,7.633333333333334
162,4.983333333333333
163,6.116666666666666
164,6.65
165,47.833333333333336
166,18.416666666666668
167,23.75
168,48.2
169,4.816666666666666
170,3.15
171,7.3
172,23.9
173,3.0
174,1.3333333333333333
175,13.783333333333331
176,8.816666666666666
177,21.9
178,9.633333333333333
179,4.316666666666666
180,21.08333333333333
181,13.116666666666667
182,25.4
183,33.03333333333333
184,31.73333333333333
185,16.933333333333334
186,44.48333333333333
187,5.133333333333334
188,7.65
189,5.8
190,13.95
191,4.15
192,24.566666666666663
193,4.316666666666666
194,2.5
195,8.483333333333333
196,10.95
197,1.8166666666666669
198,3.15
199,2.15
200,46.833333333333336
201,3.8333333333333335
202,1.3166666666666669
203,17.116666666666667
204,5.483333333333333
205,31.53333333333333
206,7.133333333333334
207,10.283333333333331
208,28.85
209,2.6666666666666665
210,42.16666666666666
211,14.283333333333331
212,45.2
213,5.316666666666666
214,7.633333333333334
215,11.466666666666669
216,23.25
217,53.13333333333333
218,7.966666666666667
219,46.98333333333333
220,16.8
221,36.23333333333333
222,48.81666666666667
223,12.766666666666667
224,26.23333333333333
225,13.1
226,6.966666666666667
227,10.8
228,49.13333333333333
229,7.633333333333334
230,25.9
231,22.9
232,4.816666666666666
233,22.566666666666663
234,19.1
235,4.35
236,6.633333333333334
237,2.1666666666666665
238,28.066666666666663
239,7.983333333333333
240,18.25
241,15.766666666666667
242,4.166666666666667
243,9.766666666666667
244,17.583333333333332
245,5.316666666666666
246,3.966666666666667
247,11.15
248,44.333333333333336
249,5.65
250,26.9
251,1.65
252,4.333333333333333
253,22.383333333333333
254,6.15
255,1.4833333333333334
256,30.566666666666663
257,30.566666666666663
258,2.15
259,5.983333333333333
260,6.816666666666666
261,5.483333333333333
262,13.616666666666667
263,11.783333333333331
264,10.283333333333331
265,12.116666666666667
266,17.566666666666666
267,9.666666666666666
268,6.15
269,14.166666666666666
270,20.78333333333333
271,15.933333333333334
272,20.58333333333333
273,2.65
274,3.15
275,1.9833333333333332
276,17.45
277,24.53333333333333
278,3.1666666666666665
279,25.683333333333334
280,6.65
281,24.933333333333334
282,33.36666666666667
283,17.133333333333333
284,1.65
285,33.55
286,7.466666666666667
287,24.066666666666663
288,3.816666666666667
289,1.8166666666666669
290,36.03333333333333
291,7.816666666666666
292,5.483333333333333
293,16.6
294,26.216666666666665
295,34.6
296,31.216666666666665
297,27.933333333333334
298,18.08333333333333
299,2.4833333333333334
300,4.816666666666666
301,11.216666666666669
302,22.933333333333334
303,13.633333333333333
304,14.116666666666667
305,20.85
306,35.28333333333333
307,12.933333333333334
308,7.3
309,30.55
310,12.933333333333334
311,5.15
312,16.816666666666666
313,9.8
314,2.15
315,4.15
316,2.4833333333333334
317,12.283333333333331
318,21.08333333333333
319,1.4833333333333334
320,23.916666666666668
321,5.8
322,3.333333333333333
323,25.25
324,8.15
325,9.966666666666669
326,2.9833333333333334
327,5.316666666666666
328,13.133333333333333
329,5.783333333333333
330,32.03333333333333
331,6.15
332,3.983333333333333
333,8.133333333333333
334,31.216666666666665
335,8.816666666666666
336,3.983333333333333
337,9.466666666666669
338,6.0
339,29.883333333333333
340,28.383333333333333
341,16.933333333333334
342,12.133333333333333
343,22.08333333333333
344,9.65
345,2.816666666666667
346,19.08333333333333
347,28.566666666666663
348,1.0666666666666669
349,37.2
350,4.15
351,29.0
352,7.633333333333334
353,10.116666666666667
354,21.916666666666668
355,15.383333333333333
356,4.833333333333333
357,1.8166666666666669
358,24.45
359,8.966666666666667
360,7.8
361,17.933333333333334
362,10.133333333333333
363,24.216666666666665
364,7.466666666666667
365,25.08333333333333
366,2.7333333333333334
367,5.133333333333334
368,2.4833333333333334
369,41.35
370,7.666666666666667
371,17.466666666666665
372,26.066666666666663
373,6.816666666666666
374,19.933333333333334
375,30.383333333333333
376,2.1666666666666665
377,3.816666666666667
378,12.133333333333333
379,12.1
380,30.216666666666665
381,6.466666666666667
382,5.483333333333333
383,30.866666666666667
384,58.36666666666667
385,10.016666666666667
386,8.95
387,32.733333333333334
388,32.05
389,35.36666666666667
390,18.48333333333333
391,35.983333333333334
392,4.316666666666666
393,44.88333333333333
394,10.966666666666669
395,22.28333333333333
396,5.983333333333333
397,4.166666666666667
398,20.416666666666668
399,26.4
400,10.116666666666667
401,34.916666666666664
402,16.783333333333335
403,19.383333333333333
404,2.6666666666666665
405,23.75
406,3.5166666666666666
407,13.116666666666667
408,14.283333333333331
409,11.1
410,6.966666666666667
411,1.9833333333333332
412,19.166666666666668
413,20.433333333333334
414,31.7
415,28.55
416,3.8333333333333335
417,2.1666666666666665
418,6.133333333333334
419,16.266666666666666
420,13.283333333333331
421,26.73333333333333
422,34.86666666666667
423,10.95
424,7.483333333333333
425,17.466666666666665
426,4.983333333333333
427,5.966666666666667
428,3.1666666666666665
429,40.2
430,2.65
431,6.633333333333334
432,17.933333333333334
433,3.816666666666667
434,29.683333333333334
435,22.08333333333333
436,8.166666666666666
437,3.983333333333333
438,5.966666666666667
439,24.9
440,2.15
441,23.266666666666666
442,10.8
443,8.983333333333333
444,32.06666666666667
445,6.966666666666667
446,11.8
447,28.73333333333333
448,1.65
449,2.5
450,5.983333333333333
451,11.133333333333333
452,23.4
453,7.633333333333334
454,42.78333333333333
455,5.483333333333333
456,37.5
457,9.95
458,6.816666666666666
459,8.3
460,2.15
461,8.55
462,27.716666666666665
463,27.9
464,16.95
465,6.283333333333333
466,45.016666666666666
467,24.25
468,11.283333333333331
469,3.816666666666667
470,21.916666666666668
471,25.5
472,4.833333333333333
473,47.3
474,36.86666666666667
475,5.45
476,26.883333333333333
477,40.03333333333333
478,2.466666666666667
479,4.15
480,20.58333333333333
481,45.583333333333336
482,46.78333333333333
483,20.416666666666668
484,11.616666666666667
485,3.983333333333333
486,4.816666666666666
487,38.68333333333333
488,13.283333333333331
489,14.516666666666667
490,3.1666666666666665
491,26.05
492,15.133333333333333
493,12.15
494,44.333333333333336
495,16.766666666666666
496,26.78333333333333
497,18.75
498,2.15
499,4.65
500,14.1
501,1.35
502,1.9833333333333332
503,27.883333333333333
504,25.9
505,8.3
506,5.3
507,21.416666666666668
508,10.366666666666667
509,7.466666666666667
510,4.816666666666666
511,3.316666666666667
512,12.1
513,6.966666666666667
514,4.633333333333334
515,18.6
516,26.883333333333333
517,8.633333333333333
518,2.816666666666667
519,25.066666666666663
520,41.333333333333336
521,10.133333333333333
522,6.966666666666667
523,17.766666666666666
524,13.45
525,2.9833333333333334
526,15.6
527,2.816666666666667
528,22.916666666666668
529,7.8
530,3.966666666666667
531,6.633333333333334
532,41.85
533,10.966666666666669
534,42.35
535,5.3
536,39.86666666666667
537,2.316666666666667
538,1.8166666666666669
539,11.216666666666669
540,0.9833333333333332
541,7.65
542,6.466666666666667
543,8.966666666666667
544,4.483333333333333
545,9.783333333333331
546,4.0
547,18.766666666666666
548,11.866666666666667
549,13.283333333333331
550,17.283333333333335
551,16.1
552,21.916666666666668
553,12.266666666666667
554,9.15
555,2.4833333333333334
556,2.6666666666666665
557,13.6
558,15.45
559,7.633333333333334
560,11.933333333333334
561,12.133333333333333
562,21.9
563,34.21666666666667
564,14.766666666666667
565,4.633333333333334
566,13.266666666666667
567,10.45
568,5.283333333333333
569,1.3166666666666669
570,35.85
571,8.3
572,4.833333333333333
573,18.416666666666668
574,37.13333333333333
575,2.4833333333333334
576,21.58333333333333
577,52.16666666666666
578,17.583333333333332
579,25.383333333333333
580,30.28333333333333
581,3.983333333333333
582,0.6666666666666666
583,13.116666666666667
584,3.3
585,16.266666666666666
586,26.03333333333333
587,4.316666666666666
588,32.38333333333333
589,25.383333333333333
590,10.466666666666669
591,1.6833333333333331
592,19.416666666666668
593,11.45
594,8.15
595,16.45
596,8.8
597,6.833333333333333
598,16.166666666666668
599,14.883333333333333
600,1.2333333333333334
601,15.8
602,3.8
603,9.616666666666667
604,4.3
605,10.6
606,3.1333333333333333
607,11.3
608,2.316666666666667
609,20.616666666666667
610,39.16666666666666
611,5.633333333333334
612,23.03333333333333
613,12.6
614,20.416666666666668
615,15.95
616,38.21666666666667
617,7.65
618,4.983333333333333
619,46.23333333333333
620,21.58333333333333
621,1.3166666666666669
622,7.3
623,13.616666666666667
624,14.366666666666667
625,15.266666666666667
626,29.716666666666665
627,7.8
628,10.95
629,6.133333333333334
630,10.15
631,7.3
632,6.833333333333333
633,13.45
634,14.616666666666667
635,15.1
636,11.616666666666667
637,0.6833333333333333
638,47.41666666666666
639,18.1
640,28.23333333333333
641,15.616666666666667
642,18.1
643,37.35
644,36.7
645,6.666666666666667
646,17.933333333333334
647,13.616666666666667
648,7.316666666666666
649,37.85
650,5.0
651,7.966666666666667
652,16.283333333333335
653,11.466666666666669
654,34.03333333333333
655,1.3333333333333333
656,4.133333333333334
657,19.6
658,9.133333333333333
659,9.95
660,13.95
661,34.36666666666667
662,46.81666666666667
663,28.816666666666663
664,10.616666666666667
665,18.766666666666666
666,4.816666666666666
667,4.666666666666667
668,41.48333333333333
669,9.966666666666669
670,3.3
671,1.8166666666666669
672,10.15
673,2.316666666666667
674,43.68333333333333
675,3.983333333333333
676,7.133333333333334
677,26.9
678,59.9
679,59.78333333333333
680,59.86666666666667
681,59.93333333333333
682,59.8
683,59.85
684,59.766666666666666
685,14.1
686,59.81666666666667
687,59.95
688,17.433333333333334
689,32.55
690,58.5
691,59.98333333333333
692,28.4
693,59.75
694,59.8
695,59.833333333333336
696,47.15
697,59.93333333333333
698,59.93333333333333
699,59.91666666666666
700,59.95
701,59.766666666666666
702,59.96666666666667
703,59.95
704,53.66666666666666
705,17.483333333333334
706,59.75
707,59.78333333333333
708,17.933333333333334
709,43.833333333333336
710,59.86666666666667
711,57.93333333333333
712,36.6
713,59.8
714,59.78333333333333
715,60.0
716,59.75
717,59.766666666666666
718,59.81666666666667
719,59.93333333333333
720,58.43333333333333
721,59.81666666666667
722,59.91666666666666
723,59.73333333333333
724,59.86666666666667
725,45.98333333333333
726,59.78333333333333
727,59.016666666666666
728,59.95
729,47.48333333333333
730,59.91666666666666
731,59.766666666666666
732,59.91666666666666
733,59.75
734,59.75
735,59.91666666666666
736,59.766666666666666
737,59.766666666666666
738,59.7
739,59.93333333333333
740,59.91666666666666
741,59.9
742,35.53333333333333
743,59.95
744,59.91666666666666
745,58.45
746,59.833333333333336
747,59.93333333333333
748,59.85
749,59.61666666666667
750,2.65
751,59.8
752,59.78333333333333
753,54.63333333333333
754,41.65
755,57.93333333333333
756,18.1
757,16.933333333333334
758,59.93333333333333
759,59.78333333333333
760,59.766666666666666
761,59.7
762,59.766666666666666
763,59.766666666666666
764,59.766666666666666
765,59.8
766,59.91666666666666
767,59.73333333333333
768,59.96666666666667
769,41.13333333333333
770,54.61666666666667
771,42.45
772,59.93333333333333
773,41.516666666666666
774,59.95
775,6.15
776,59.8
777,59.95
778,59.86666666666667
779,59.766666666666666
780,59.8
781,59.93333333333333
782,54.6
783,59.95
784,59.95
785,60.0
786,15.933333333333334
787,59.88333333333333
788,58.3
789,58.43333333333333
790,53.13333333333333
791,59.91666666666666
792,59.9
793,59.766666666666666
794,30.216666666666665
795,59.86666666666667
796,59.86666666666667
797,59.93333333333333
798,59.766666666666666
799,59.35
800,57.43333333333333
801,59.78333333333333
802,59.75
803,59.766666666666666
804,59.78333333333333
805,59.85
806,19.933333333333334
807,59.78333333333333
808,59.8
809,59.93333333333333
810,59.91666666666666
811,59.86666666666667
812,49.7
813,59.78333333333333
814,59.833333333333336
815,59.81666666666667
816,59.88333333333333
817,12.95
818,59.833333333333336
819,59.766666666666666
820,47.63333333333333
821,59.75
822,59.96666666666667
823,59.71666666666667
824,58.78333333333333
825,59.93333333333333
826,59.766666666666666
827,59.766666666666666
828,59.78333333333333
829,59.85
830,59.766666666666666
831,59.8
832,59.96666666666667
833,59.86666666666667
834,9.633333333333333
835,59.95
836,59.93333333333333
837,59.85
838,59.95
839,58.78333333333333
840,18.416666666666668
841,59.78333333333333
842,18.28333333333333
843,59.85
844,59.78333333333333
845,59.833333333333336
846,59.93333333333333
847,59.8
848,59.833333333333336
849,58.61666666666667
850,59.93333333333333
851,59.91666666666666
852,59.93333333333333
853,23.0
854,59.8
855,59.766666666666666
856,59.95
857,59.78333333333333
858,59.96666666666667
859,59.8
860,59.95
861,59.8
862,58.45
863,55.78333333333333
864,59.91666666666666
865,22.816666666666663
866,59.88333333333333
867,59.833333333333336
868,59.93333333333333
869,59.8
870,59.766666666666666
871,59.766666666666666
872,59.85
873,59.81666666666667
874,59.78333333333333
875,43.61666666666667
876,59.88333333333333
877,59.766666666666666
878,59.78333333333333
879,60.0
880,59.95
881,39.36666666666667
882,59.75
883,58.28333333333333
884,57.45
885,59.81666666666667
886,58.583333333333336
887,33.7
888,59.78333333333333
889,16.1
890,59.833333333333336
891,59.9
892,59.78333333333333
893,59.91666666666666
894,59.98333333333333
895,41.0
896,59.95
897,59.7
898,59.766666666666666
899,59.8
900,20.766666666666666
901,59.75
902,25.566666666666663
903,59.88333333333333
904,59.766666666666666
905,59.93333333333333
906,49.63333333333333
907,59.93333333333333
908,59.766666666666666
909,59.88333333333333
910,59.95
911,59.86666666666667
912,58.48333333333333
913,5.766666666666667
914,59.86666666666667
915,59.91666666666666
916,59.78333333333333
917,59.96666666666667
918,59.91666666666666
919,59.766666666666666
920,19.75
921,59.78333333333333
922,59.78333333333333
923,44.66666666666666
924,59.93333333333333
925,59.85
926,59.91666666666666
927,59.766666666666666
928,59.81666666666667
929,20.416666666666668
930,59.766666666666666
931,59.93333333333333
932,59.93333333333333
933,59.95
934,59.95
935,59.95
936,59.8
937,59.78333333333333
938,59.78333333333333
939,59.78333333333333
940,59.766666666666666
941,59.81666666666667
942,59.78333333333333
943,59.95
944,58.78333333333333
945,59.78333333333333
946,43.31666666666667
947,44.016666666666666
948,59.96666666666667
949,26.883333333333333
950,59.88333333333333
951,59.73333333333333
952,59.95
953,35.36666666666667
954,59.85
955,59.95
956,59.75
957,59.88333333333333
958,52.98333333333333
959,59.8
960,40.21666666666667
961,59.95
962,59.9
963,59.93333333333333
964,59.86666666666667
965,59.93333333333333
966,59.95
967,59.78333333333333
968,59.8
969,54.96666666666667
970,59.93333333333333
971,59.93333333333333
972,37.516666666666666
973,34.2
974,59.91666666666666
975,59.75
976,59.583333333333336
977,59.71666666666667
978,59.766666666666666
979,59.85
980,59.766666666666666
981,59.766666666666666
982,23.73333333333333
983,59.28333333333333
984,59.95
985,59.95
986,59.93333333333333
987,59.8
988,59.91666666666666
989,59.833333333333336
990,59.9
991,59.88333333333333
992,59.93333333333333
993,14.716666666666669
994,59.78333333333333
995,59.95
996,59.93333333333333
997,59.75
998,49.96666666666667
999,59.766666666666666
1000,59.8
1001,43.81666666666667
1002,59.9
1003,59.78333333333333
1004,58.43333333333333
1005,59.766666666666666
1006,59.55
1007,59.95
1008,59.88333333333333
1009,59.81666666666667
1010,59.86666666666667
1011,51.45
1012,59.8
1013,59.93333333333333
1014,59.88333333333333
1015,59.78333333333333
1016,58.48333333333333
1017,59.85
1018,59.86666666666667
1019,59.78333333333333
1020,16.433333333333334
1021,59.86666666666667
1022,58.43333333333333
1023,58.266666666666666
1024,59.91666666666666
1025,59.91666666666666
1026,58.78333333333333
1027,59.766666666666666
1028,59.766666666666666
1029,59.78333333333333
1030,13.616666666666667
1031,59.91666666666666
1032,34.36666666666667
1033,59.766666666666666
1034,59.85
1035,58.46666666666667
1036,4.633333333333334
1037,42.85
1038,59.766666666666666
1039,59.93333333333333
1040,58.516666666666666
1041,59.833333333333336
1042,54.13333333333333
1043,59.93333333333333
1044,59.93333333333333
1045,59.95
1046,59.86666666666667
1047,59.833333333333336
1048,59.93333333333333
1049,59.86666666666667
1050,59.93333333333333
1051,59.766666666666666
1052,59.93333333333333
1053,59.91666666666666
1054,59.78333333333333
1055,59.8
1056,4.166666666666667
1057,59.93333333333333
1058,59.81666666666667
1059,59.96666666666667
1060,59.78333333333333
1061,59.78333333333333
1062,59.1
1063,59.766666666666666
1064,59.81666666666667
1065,59.78333333333333
1066,59.91666666666666
1067,59.91666666666666
1068,59.96666666666667
1069,1.1666666666666667
1070,58.333333333333336
1071,59.833333333333336
1072,59.78333333333333
1073,59.78333333333333
1074,59.78333333333333
1075,59.8
1076,59.766666666666666
1077,59.766666666666666
1078,13.616666666666667
1079,59.93333333333333
1080,59.95
1081,59.93333333333333
1082,42.333333333333336
1083,53.96666666666667
1084,59.86666666666667
1085,59.78333333333333
1086,59.766666666666666
1087,59.9
1088,59.91666666666666
1089,59.88333333333333
1090,59.833333333333336
1091,59.8
1092,59.81666666666667
1093,58.333333333333336
1094,59.93333333333333
1095,38.95
1096,59.833333333333336
1097,39.68333333333333
1098,32.03333333333333
1099,59.833333333333336
1100,59.88333333333333
1101,33.05
1102,59.833333333333336
1103,59.95
1104,59.95
1105,59.8
1106,59.75
1107,41.73333333333333
1108,43.45
1109,45.0
1110,59.75
1111,59.8
1112,59.766666666666666
1113,59.93333333333333
1114,59.766666666666666
1115,1.0
1116,59.71666666666667
1117,36.35
1118,59.85
1119,58.266666666666666
1120,59.95
1121,59.75
1122,59.78333333333333
1123,59.766666666666666
1124,59.95
1125,59.93333333333333
1126,59.766666666666666
1127,49.11666666666667
1128,59.96666666666667
1129,59.766666666666666
1130,59.766666666666666
1131,52.21666666666667
1132,56.15
1133,59.9
1134,57.95
1135,59.96666666666667
1136,59.95
1137,59.78333333333333
1138,59.91666666666666
1139,59.95
1140,35.86666666666667
1141,24.9
1142,59.95
1143,59.78333333333333
1144,45.16666666666666
1145,59.8
1146,59.75
1147,59.93333333333333
1148,59.95
1149,59.78333333333333
1150,59.78333333333333
1151,59.9
1152,59.93333333333333
1153,59.96666666666667
1154,37.333333333333336
1155,14.95
1156,10.8
1157,59.766666666666666
1158,50.3
1159,59.78333333333333
1160,59.833333333333336
1161,59.93333333333333
1162,59.78333333333333
1163,59.833333333333336
1164,55.95
1165,59.91666666666666
1166,57.266666666666666
1167,56.95
1168,59.95
1169,37.41666666666666
1170,59.95
1171,59.86666666666667
1172,59.766666666666666
1173,14.966666666666669
1174,18.6
1175,59.766666666666666
1176,59.81666666666667
1177,59.86666666666667
1178,59.8
1179,39.35
1180,59.95
1181,58.63333333333333
1182,59.93333333333333
1183,59.93333333333333
1184,59.766666666666666
1185,59.86666666666667
1186,59.93333333333333
1187,59.78333333333333
1188,59.766666666666666
1189,59.78333333333333
1190,59.766666666666666
1191,59.95
1192,58.46666666666667
1193,59.93333333333333
1194,59.91666666666666
1195,31.05
1196,33.75
1197,59.93333333333333
1198,59.96666666666667
1199,59.78333333333333
1200,27.23333333333333
1201,26.75
1202,53.6
1203,59.61666666666667
1204,59.81666666666667
